[2026-04-10 08:41:45,739] flops: 10.579868042, params: 26.764399, Total params: : 26.7644
[2026-04-10 10:26:11,140] Epoch: 119, Dataset: test, Dice: 0.9477, IoU: 0.9033
[2026-04-10 10:26:12,108] Epoch: 119, Dataset: val, Dice: 0.9338, IoU: 0.8847
[2026-04-10 10:27:08,585] Epoch: 120, Dataset: test, Dice: 0.9513, IoU: 0.9095
[2026-04-10 10:27:09,496] Epoch: 120, Dataset: val, Dice: 0.9395, IoU: 0.8909
[2026-04-10 10:27:09,496] ### Best Model Saved (Dice improved from 0.9392 to 0.9395) ###
[2026-04-10 10:28:09,330] Epoch: 121, Dataset: test, Dice: 0.9504, IoU: 0.9081
[2026-04-10 10:28:10,265] Epoch: 121, Dataset: val, Dice: 0.9358, IoU: 0.8849
[2026-04-10 10:29:07,710] Epoch: 122, Dataset: test, Dice: 0.9512, IoU: 0.9086
[2026-04-10 10:29:08,736] Epoch: 122, Dataset: val, Dice: 0.9374, IoU: 0.8874
[2026-04-10 10:30:04,776] Epoch: 123, Dataset: test, Dice: 0.9486, IoU: 0.9053
[2026-04-10 10:30:05,763] Epoch: 123, Dataset: val, Dice: 0.9353, IoU: 0.8859
[2026-04-10 10:31:02,140] Epoch: 124, Dataset: test, Dice: 0.9491, IoU: 0.9051
[2026-04-10 10:31:03,149] Epoch: 124, Dataset: val, Dice: 0.9364, IoU: 0.8891
[2026-04-10 10:31:59,373] Epoch: 125, Dataset: test, Dice: 0.9518, IoU: 0.9103
[2026-04-10 10:32:00,345] Epoch: 125, Dataset: val, Dice: 0.9358, IoU: 0.8854
[2026-04-10 10:32:56,867] Epoch: 126, Dataset: test, Dice: 0.9220, IoU: 0.8747
[2026-04-10 10:32:57,856] Epoch: 126, Dataset: val, Dice: 0.9062, IoU: 0.8494
[2026-04-10 10:33:55,512] Epoch: 127, Dataset: test, Dice: 0.9481, IoU: 0.9041
[2026-04-10 10:33:56,449] Epoch: 127, Dataset: val, Dice: 0.9330, IoU: 0.8823
[2026-04-10 10:34:52,954] Epoch: 128, Dataset: test, Dice: 0.9484, IoU: 0.9054
